annual_meeting_id,contact_id,program_id,attended,rating,feedback_comment
AM-2025,P00133,PGM2025-06,True,4,Great insights on AI.
AM-2025,P00133,PGM2025-11,True,4,
AM-2025,P00133,PGM2025-13,True,3,More time for Q&A please.
AM-2025,P00133,PGM2025-15,True,4,Very practical.
AM-2025,P00133,PGM2025-22,True,5,Too salesy.
AM-2025,P00133,PGM2025-04,True,5,Made me re-think our approach.
AM-2025,P00133,PGM2025-17,True,5,Excellent peer discussion.
AM-2025,P00133,PGM2025-08,True,1,Good moderation.
AM-2025,P00133,PGM2025-09,True,5,More examples needed.
AM-2025,P00156,PGM2025-16,True,4,Strong speakers.
AM-2025,P00156,PGM2025-13,True,4,Loved the case study.
AM-2025,P00156,PGM2025-05,True,3,
AM-2025,P00156,PGM2025-14,True,5,Good moderation.
AM-2025,P00156,PGM2025-22,True,5,Loved the case study.
AM-2025,P00156,PGM2025-06,True,1,Great insights on policy.
AM-2025,P00156,PGM2025-15,True,5,Too salesy.
AM-2024,P00226,PGM2024-08,True,3,Loved the case study.
AM-2024,P00226,PGM2024-20,True,4,Great insights on AI.
AM-2024,P00226,PGM2024-22,True,5,More examples needed.
AM-2024,P00226,PGM2024-21,True,4,Loved the case study.
AM-2024,P00226,PGM2024-15,True,4,Would value a deeper dive next time.
AM-2024,P00226,PGM2024-13,True,5,Very practical.
AM-2025,P00322,PGM2025-12,True,4,Great insights on AI.
AM-2025,P00322,PGM2025-11,True,1,
AM-2025,P00322,PGM2025-03,True,5,Great insights on AI.
AM-2025,P00322,PGM2025-10,True,5,Great insights on AI.
AM-2025,P00322,PGM2025-04,True,2,
AM-2025,P00285,PGM2025-03,True,3,Loved the case study.
AM-2025,P00285,PGM2025-19,True,4,Great insights on policy.
AM-2025,P00285,PGM2025-02,True,5,Very practical.
AM-2025,P00285,PGM2025-17,True,4,Too salesy.
AM-2025,P00285,PGM2025-14,True,4,More examples needed.
AM-2025,P00285,PGM2025-07,True,5,Too salesy.
AM-2025,P00285,PGM2025-01,True,3,Very practical.
AM-2025,P00382,PGM2025-21,True,5,
AM-2025,P00382,PGM2025-20,True,4,Very practical.
AM-2025,P00382,PGM2025-07,True,4,Too salesy.
AM-2025,P00382,PGM2025-18,True,5,Loved the case study.
AM-2025,P00382,PGM2025-09,True,5,Excellent peer discussion.
AM-2025,P00382,PGM2025-22,True,4,Great insights on policy.
AM-2025,P00417,PGM2025-10,True,3,Too salesy.
AM-2025,P00417,PGM2025-01,True,5,More time for Q&A please.
AM-2025,P00417,PGM2025-20,True,5,Good moderation.
AM-2025,P00417,PGM2025-04,True,4,Great insights on AI.
AM-2025,P00417,PGM2025-21,True,5,Useful benchmarks for my team.
AM-2025,P00417,PGM2025-13,True,5,Good moderation.
AM-2025,P00417,PGM2025-14,True,4,
AM-2025,P00417,PGM2025-12,True,4,
AM-2025,P00417,PGM2025-08,True,5,Great insights on AI.
AM-2025,P00071,PGM2025-19,True,3,Too salesy.
AM-2025,P00071,PGM2025-09,True,5,Too salesy.
AM-2025,P00071,PGM2025-18,True,5,Made me re-think our approach.
AM-2025,P00071,PGM2025-15,True,2,Made me re-think our approach.
AM-2025,P00071,PGM2025-01,True,4,Would value a deeper dive next time.
AM-2025,P00071,PGM2025-10,True,5,Great insights on AI.
AM-2024,P00368,PGM2024-01,True,4,Excellent peer discussion.
AM-2024,P00368,PGM2024-17,True,4,Loved the case study.
AM-2024,P00368,PGM2024-14,True,5,Loved the case study.
AM-2024,P00368,PGM2024-04,True,3,Very practical.
AM-2024,P00368,PGM2024-16,True,2,More examples needed.
AM-2024,P00368,PGM2024-03,True,3,Very practical.
AM-2024,P00368,PGM2024-19,True,2,Would value a deeper dive next time.
AM-2024,P00368,PGM2024-05,True,4,Too salesy.
AM-2024,P00368,PGM2024-22,True,4,Good moderation.
AM-2024,P00368,PGM2024-07,True,4,Useful benchmarks for my team.
AM-2024,P00147,PGM2024-17,True,4,Very practical.
AM-2024,P00147,PGM2024-14,True,5,Very practical.
AM-2024,P00147,PGM2024-19,True,4,
AM-2024,P00147,PGM2024-20,True,5,Too salesy.
AM-2024,P00147,PGM2024-06,True,5,Too salesy.
AM-2024,P00147,PGM2024-22,True,5,More examples needed.
AM-2024,P00147,PGM2024-01,True,4,Excellent peer discussion.
AM-2024,P00147,PGM2024-02,True,5,Too salesy.
AM-2024,P00147,PGM2024-03,True,5,More examples needed.
AM-2025,P00408,PGM2025-05,True,1,Too salesy.
AM-2025,P00408,PGM2025-17,True,4,More examples needed.
AM-2025,P00408,PGM2025-16,True,4,Very practical.
AM-2025,P00408,PGM2025-07,True,4,Great insights on AI.
AM-2025,P00408,PGM2025-10,True,4,Very practical.
AM-2025,P00408,PGM2025-21,True,5,Strong speakers.
AM-2025,P00408,PGM2025-01,True,5,Great insights on policy.
AM-2025,P00408,PGM2025-13,True,5,Too salesy.
AM-2025,P00408,PGM2025-04,True,5,More examples needed.
AM-2025,P00261,PGM2025-08,True,4,Strong speakers.
AM-2025,P00261,PGM2025-14,True,5,Loved the case study.
AM-2025,P00261,PGM2025-19,True,4,
AM-2025,P00261,PGM2025-13,True,5,Great insights on AI.
AM-2025,P00261,PGM2025-03,True,2,More time for Q&A please.
AM-2025,P00261,PGM2025-18,True,5,
AM-2025,P00261,PGM2025-04,True,4,Good moderation.
AM-2025,P00261,PGM2025-02,True,4,Speaker was excellent.
AM-2024,P00138,PGM2024-02,True,5,Good moderation.
AM-2024,P00138,PGM2024-05,True,5,Good moderation.
AM-2024,P00138,PGM2024-20,True,5,More examples needed.
AM-2024,P00138,PGM2024-17,True,5,More examples needed.
AM-2024,P00138,PGM2024-08,True,4,Very practical.
AM-2025,P00134,PGM2025-12,True,5,Strong speakers.
AM-2025,P00134,PGM2025-05,True,3,Loved the case study.
AM-2025,P00134,PGM2025-11,True,5,Great insights on AI.
AM-2025,P00134,PGM2025-15,True,3,Excellent peer discussion.
AM-2025,P00134,PGM2025-06,True,4,Strong speakers.
AM-2025,P00134,PGM2025-19,True,5,Very practical.
AM-2025,P00418,PGM2025-08,True,4,Loved the case study.
AM-2025,P00418,PGM2025-16,True,2,Speaker was excellent.
AM-2025,P00418,PGM2025-10,True,4,Made me re-think our approach.
AM-2025,P00418,PGM2025-19,True,3,Great insights on policy.
AM-2025,P00418,PGM2025-18,True,1,Very practical.
AM-2025,P00418,PGM2025-12,True,4,
AM-2025,P00418,PGM2025-01,True,2,Great insights on policy.
AM-2025,P00418,PGM2025-17,True,5,Loved the practical templates.
AM-2025,P00187,PGM2025-06,True,2,Great insights on AI.
AM-2025,P00187,PGM2025-01,True,5,
AM-2025,P00187,PGM2025-18,True,3,Strong speakers.
AM-2025,P00187,PGM2025-09,True,4,Very practical.
AM-2025,P00187,PGM2025-12,True,3,Too salesy.
AM-2025,P00187,PGM2025-13,True,1,Speaker was excellent.
AM-2025,P00187,PGM2025-07,True,3,More examples needed.
AM-2024,P00113,PGM2024-12,True,4,Strong speakers.
AM-2024,P00113,PGM2024-11,True,4,Good moderation.
AM-2024,P00113,PGM2024-21,True,5,Great insights on AI.
AM-2024,P00113,PGM2024-05,True,5,Excellent peer discussion.
AM-2024,P00113,PGM2024-01,True,5,Very practical.
AM-2024,P00113,PGM2024-17,True,4,Speaker was excellent.
AM-2025,P00312,PGM2025-15,True,3,Loved the case study.
AM-2025,P00312,PGM2025-07,True,4,Great insights on policy.
AM-2025,P00312,PGM2025-16,True,5,Useful benchmarks for my team.
AM-2025,P00312,PGM2025-05,True,4,Too salesy.
AM-2025,P00312,PGM2025-04,True,5,
AM-2025,P00312,PGM2025-17,True,3,Good moderation.
AM-2025,P00312,PGM2025-22,True,3,Loved the case study.
AM-2024,P00120,PGM2024-07,True,3,Good moderation.
AM-2024,P00120,PGM2024-21,True,1,Strong speakers.
AM-2024,P00120,PGM2024-20,True,4,More time for Q&A please.
AM-2024,P00120,PGM2024-13,True,4,Would value a deeper dive next time.
AM-2024,P00120,PGM2024-17,True,4,Excellent peer discussion.
AM-2024,P00120,PGM2024-03,True,4,Great insights on AI.
AM-2024,P00120,PGM2024-01,True,4,Too salesy.
AM-2024,P00120,PGM2024-04,True,4,More time for Q&A please.
AM-2024,P00120,PGM2024-14,True,4,Very practical.
AM-2025,P00214,PGM2025-13,True,3,Strong speakers.
AM-2025,P00214,PGM2025-09,True,2,More examples needed.
AM-2025,P00214,PGM2025-07,True,5,More examples needed.
AM-2025,P00214,PGM2025-21,True,4,More time for Q&A please.
AM-2025,P00214,PGM2025-22,True,5,More examples needed.
AM-2025,P00214,PGM2025-04,True,1,Loved the case study.
AM-2025,P00214,PGM2025-14,True,2,
AM-2025,P00214,PGM2025-17,True,5,Useful benchmarks for my team.
AM-2025,P00096,PGM2025-09,True,3,Very practical.
AM-2025,P00096,PGM2025-05,True,4,Great insights on AI.
AM-2025,P00096,PGM2025-21,True,5,Loved the case study.
AM-2025,P00096,PGM2025-22,True,4,
AM-2025,P00096,PGM2025-17,True,3,Very practical.
AM-2025,P00032,PGM2025-06,True,4,Too salesy.
AM-2025,P00032,PGM2025-05,True,4,Too salesy.
AM-2025,P00032,PGM2025-13,True,5,Useful benchmarks for my team.
AM-2025,P00032,PGM2025-03,True,4,Very practical.
AM-2025,P00032,PGM2025-16,True,5,Loved the practical templates.
AM-2025,P00034,PGM2025-17,True,5,Good moderation.
AM-2025,P00034,PGM2025-01,True,2,More examples needed.
AM-2025,P00034,PGM2025-21,True,3,Loved the case study.
AM-2025,P00034,PGM2025-04,True,4,Too salesy.
AM-2025,P00034,PGM2025-03,True,4,Too salesy.
AM-2025,P00034,PGM2025-19,True,5,More examples needed.
AM-2025,P00034,PGM2025-12,True,4,Good moderation.
AM-2025,P00034,PGM2025-22,True,4,More examples needed.
AM-2025,P00370,PGM2025-18,True,3,Good moderation.
AM-2025,P00370,PGM2025-06,True,4,More examples needed.
AM-2025,P00370,PGM2025-22,True,5,Great insights on AI.
AM-2025,P00370,PGM2025-02,True,2,Very practical.
AM-2025,P00370,PGM2025-10,True,2,More examples needed.
AM-2025,P00370,PGM2025-07,True,4,Great insights on AI.
AM-2025,P00370,PGM2025-17,True,4,Very practical.
AM-2025,P00370,PGM2025-03,True,5,Excellent peer discussion.
AM-2024,P00184,PGM2024-14,True,3,Great insights on policy.
AM-2024,P00184,PGM2024-22,True,5,Great insights on AI.
AM-2024,P00184,PGM2024-09,True,4,Great insights on AI.
AM-2024,P00184,PGM2024-10,True,4,Too salesy.
AM-2024,P00184,PGM2024-21,True,5,Loved the case study.
AM-2024,P00184,PGM2024-20,True,4,Made me re-think our approach.
AM-2024,P00184,PGM2024-16,True,4,Great insights on AI.
AM-2024,P00190,PGM2024-18,True,1,Great insights on policy.
AM-2024,P00190,PGM2024-10,True,4,More time for Q&A please.
AM-2024,P00190,PGM2024-04,True,4,Great insights on AI.
AM-2024,P00190,PGM2024-16,True,2,Great insights on AI.
AM-2024,P00190,PGM2024-03,True,5,Too salesy.
AM-2025,P00316,PGM2025-17,True,3,Would value a deeper dive next time.
AM-2025,P00316,PGM2025-09,True,5,Loved the case study.
AM-2025,P00316,PGM2025-22,True,4,Loved the practical templates.
AM-2025,P00316,PGM2025-11,True,3,Too salesy.
AM-2025,P00316,PGM2025-13,True,4,Strong speakers.
AM-2025,P00316,PGM2025-05,True,3,Great insights on policy.
AM-2025,P00316,PGM2025-15,True,3,Too salesy.
AM-2025,P00400,PGM2025-11,True,5,More examples needed.
AM-2025,P00400,PGM2025-22,True,5,Too salesy.
AM-2025,P00400,PGM2025-14,True,5,More examples needed.
AM-2025,P00400,PGM2025-16,True,5,Great insights on policy.
AM-2025,P00400,PGM2025-01,True,3,Good moderation.
AM-2025,P00400,PGM2025-05,True,3,Great insights on AI.
AM-2025,P00400,PGM2025-17,True,1,Good moderation.
AM-2025,P00400,PGM2025-04,True,4,Good moderation.
AM-2025,P00400,PGM2025-06,True,5,Loved the case study.
AM-2025,P00400,PGM2025-15,True,5,Would value a deeper dive next time.
AM-2025,P00343,PGM2025-19,True,5,Strong speakers.
AM-2025,P00343,PGM2025-20,True,2,Too salesy.
AM-2025,P00343,PGM2025-08,True,1,More examples needed.
AM-2025,P00343,PGM2025-11,True,4,Great insights on AI.
AM-2025,P00343,PGM2025-02,True,1,Strong speakers.
AM-2025,P00343,PGM2025-05,True,3,More examples needed.
AM-2025,P00343,PGM2025-03,True,5,Loved the case study.
AM-2025,P00343,PGM2025-15,True,4,Too salesy.
AM-2025,P00343,PGM2025-12,True,4,Very practical.
AM-2025,P00004,PGM2025-17,True,2,Great insights on AI.
AM-2025,P00004,PGM2025-08,True,3,Loved the case study.
AM-2025,P00004,PGM2025-21,True,5,Would value a deeper dive next time.
AM-2025,P00004,PGM2025-16,True,3,Very practical.
AM-2025,P00004,PGM2025-09,True,4,Great insights on AI.
AM-2025,P00004,PGM2025-06,True,3,Great insights on policy.
AM-2025,P00091,PGM2025-17,True,4,Very practical.
AM-2025,P00091,PGM2025-09,True,4,Great insights on AI.
AM-2025,P00091,PGM2025-03,True,5,Speaker was excellent.
AM-2025,P00091,PGM2025-04,True,4,Great insights on AI.
AM-2025,P00091,PGM2025-19,True,5,Too salesy.
AM-2025,P00091,PGM2025-12,True,4,Strong speakers.
AM-2025,P00091,PGM2025-16,True,3,Would value a deeper dive next time.
AM-2025,P00296,PGM2025-05,True,3,Great insights on AI.
AM-2025,P00296,PGM2025-02,True,3,Strong speakers.
AM-2025,P00296,PGM2025-06,True,2,Great insights on AI.
AM-2025,P00296,PGM2025-07,True,4,Speaker was excellent.
AM-2025,P00296,PGM2025-16,True,1,Excellent peer discussion.
AM-2025,P00296,PGM2025-22,True,4,More examples needed.
AM-2025,P00296,PGM2025-08,True,4,Strong speakers.
AM-2025,P00064,PGM2025-08,True,4,Loved the practical templates.
AM-2025,P00064,PGM2025-17,True,3,Very practical.
AM-2025,P00064,PGM2025-20,True,4,Would value a deeper dive next time.
AM-2025,P00064,PGM2025-10,True,4,Good moderation.
AM-2025,P00064,PGM2025-04,True,4,Loved the case study.
AM-2025,P00064,PGM2025-19,True,5,Good moderation.
AM-2025,P00064,PGM2025-02,True,4,Great insights on AI.
AM-2025,P00064,PGM2025-05,True,5,Excellent peer discussion.
AM-2025,P00064,PGM2025-14,True,4,Great insights on AI.
AM-2025,P00352,PGM2025-05,True,4,Strong speakers.
AM-2025,P00352,PGM2025-07,True,4,Strong speakers.
AM-2025,P00352,PGM2025-18,True,5,Useful benchmarks for my team.
AM-2025,P00352,PGM2025-12,True,4,Too salesy.
AM-2025,P00079,PGM2025-03,True,5,More time for Q&A please.
AM-2025,P00079,PGM2025-08,True,4,Speaker was excellent.
AM-2025,P00079,PGM2025-13,True,4,Very practical.
AM-2025,P00079,PGM2025-09,True,5,Loved the case study.
AM-2025,P00079,PGM2025-15,True,4,Very practical.
AM-2025,P00079,PGM2025-05,True,2,Great insights on AI.
AM-2025,P00079,PGM2025-19,True,5,Loved the practical templates.
AM-2025,P00378,PGM2025-11,True,2,Speaker was excellent.
AM-2025,P00378,PGM2025-15,True,3,Useful benchmarks for my team.
AM-2025,P00378,PGM2025-17,True,4,Loved the practical templates.
AM-2025,P00378,PGM2025-13,True,5,Strong speakers.
AM-2024,P00415,PGM2024-01,True,3,Great insights on policy.
AM-2024,P00415,PGM2024-20,True,3,Very practical.
AM-2024,P00415,PGM2024-16,True,4,Useful benchmarks for my team.
AM-2024,P00415,PGM2024-04,True,2,Very practical.
AM-2024,P00415,PGM2024-03,True,5,Very practical.
AM-2024,P00415,PGM2024-18,True,3,
AM-2024,P00415,PGM2024-14,True,5,Too salesy.
AM-2025,P00116,PGM2025-21,True,3,Too salesy.
AM-2025,P00116,PGM2025-03,True,5,
AM-2025,P00116,PGM2025-13,True,5,Would value a deeper dive next time.
AM-2025,P00116,PGM2025-17,True,3,Loved the case study.
AM-2024,P00168,PGM2024-18,True,5,Great insights on AI.
AM-2024,P00168,PGM2024-17,True,2,Too salesy.
AM-2024,P00168,PGM2024-04,True,4,Loved the practical templates.
AM-2024,P00168,PGM2024-16,True,2,Too salesy.
AM-2024,P00168,PGM2024-19,True,1,Would value a deeper dive next time.
AM-2024,P00336,PGM2024-13,True,5,Very practical.
AM-2024,P00336,PGM2024-04,True,5,Strong speakers.
AM-2024,P00336,PGM2024-11,True,4,Good moderation.
AM-2024,P00336,PGM2024-02,True,5,Loved the case study.
AM-2025,P00307,PGM2025-11,True,1,Great insights on AI.
AM-2025,P00307,PGM2025-12,True,4,Very practical.
AM-2025,P00307,PGM2025-04,True,4,Good moderation.
AM-2025,P00307,PGM2025-21,True,3,Great insights on AI.
AM-2025,P00234,PGM2025-07,True,4,Loved the practical templates.
AM-2025,P00234,PGM2025-05,True,4,Good moderation.
AM-2025,P00234,PGM2025-01,True,5,Useful benchmarks for my team.
AM-2025,P00234,PGM2025-20,True,3,Loved the practical templates.
AM-2025,P00242,PGM2025-06,True,5,Great insights on policy.
AM-2025,P00242,PGM2025-09,True,2,More time for Q&A please.
AM-2025,P00242,PGM2025-19,True,4,Too salesy.
AM-2025,P00242,PGM2025-07,True,2,Very practical.
AM-2024,P00358,PGM2024-20,True,2,Made me re-think our approach.
AM-2024,P00358,PGM2024-01,True,4,Very practical.
AM-2024,P00358,PGM2024-06,True,3,
AM-2024,P00358,PGM2024-07,True,2,More time for Q&A please.
AM-2024,P00358,PGM2024-14,True,4,Loved the practical templates.
AM-2024,P00358,PGM2024-17,True,4,Made me re-think our approach.
AM-2024,P00358,PGM2024-02,True,2,Strong speakers.
AM-2024,P00358,PGM2024-16,True,5,Strong speakers.
AM-2025,P00391,PGM2025-13,True,5,Great insights on AI.
AM-2025,P00391,PGM2025-18,True,4,More time for Q&A please.
AM-2025,P00391,PGM2025-22,True,4,Too salesy.
AM-2025,P00391,PGM2025-12,True,5,More examples needed.
AM-2025,P00391,PGM2025-16,True,4,Great insights on AI.
AM-2025,P00391,PGM2025-02,True,4,Good moderation.
AM-2025,P00391,PGM2025-08,True,5,More examples needed.
AM-2025,P00391,PGM2025-17,True,5,Good moderation.
AM-2025,P00391,PGM2025-10,True,2,More examples needed.
AM-2025,P00398,PGM2025-02,True,3,Great insights on policy.
AM-2025,P00398,PGM2025-19,True,2,
AM-2025,P00398,PGM2025-11,True,5,Loved the case study.
AM-2025,P00398,PGM2025-16,True,4,Strong speakers.
AM-2025,P00398,PGM2025-01,True,4,Too salesy.
AM-2025,P00248,PGM2025-20,True,3,Loved the case study.
AM-2025,P00248,PGM2025-16,True,4,Excellent peer discussion.
AM-2025,P00248,PGM2025-15,True,2,Loved the case study.
AM-2025,P00248,PGM2025-03,True,5,Very practical.
AM-2025,P00248,PGM2025-10,True,4,More examples needed.
AM-2025,P00248,PGM2025-04,True,5,Great insights on AI.
AM-2025,P00248,PGM2025-09,True,4,Very practical.
AM-2025,P00248,PGM2025-19,True,2,Too salesy.
AM-2025,P00067,PGM2025-09,True,5,Loved the practical templates.
AM-2025,P00067,PGM2025-05,True,4,Good moderation.
AM-2025,P00067,PGM2025-10,True,4,Good moderation.
AM-2025,P00067,PGM2025-12,True,4,
AM-2025,P00067,PGM2025-08,True,3,More time for Q&A please.
AM-2025,P00067,PGM2025-20,True,3,Strong speakers.
AM-2025,P00150,PGM2025-20,True,4,Too salesy.
AM-2025,P00150,PGM2025-15,True,5,Very practical.
AM-2025,P00150,PGM2025-09,True,4,Excellent peer discussion.
AM-2025,P00150,PGM2025-10,True,3,Great insights on AI.
AM-2025,P00150,PGM2025-06,True,5,Good moderation.
AM-2025,P00150,PGM2025-13,True,3,Speaker was excellent.
AM-2025,P00113,PGM2025-07,True,4,Strong speakers.
AM-2025,P00113,PGM2025-17,True,4,Good moderation.
AM-2025,P00113,PGM2025-09,True,2,Great insights on AI.
AM-2025,P00113,PGM2025-02,True,2,Great insights on AI.
AM-2025,P00221,PGM2025-14,True,4,
AM-2025,P00221,PGM2025-16,True,5,Great insights on AI.
AM-2025,P00221,PGM2025-01,True,1,More examples needed.
AM-2025,P00221,PGM2025-17,True,5,Speaker was excellent.
AM-2025,P00221,PGM2025-12,True,4,Too salesy.
AM-2025,P00221,PGM2025-10,True,4,Too salesy.
AM-2025,P00221,PGM2025-02,True,1,Very practical.
AM-2025,P00221,PGM2025-08,True,5,Made me re-think our approach.
AM-2025,P00100,PGM2025-01,True,5,More examples needed.
AM-2025,P00100,PGM2025-17,True,5,Useful benchmarks for my team.
AM-2025,P00100,PGM2025-18,True,3,Too salesy.
AM-2025,P00100,PGM2025-16,True,5,More examples needed.
AM-2025,P00100,PGM2025-12,True,5,Good moderation.
AM-2025,P00100,PGM2025-08,True,4,Made me re-think our approach.
AM-2025,P00100,PGM2025-06,True,4,Good moderation.
AM-2025,P00100,PGM2025-02,True,1,Loved the case study.
AM-2025,P00016,PGM2025-02,True,5,Excellent peer discussion.
AM-2025,P00016,PGM2025-13,True,4,Good moderation.
AM-2025,P00016,PGM2025-15,True,5,Excellent peer discussion.
AM-2025,P00016,PGM2025-17,True,5,
AM-2025,P00383,PGM2025-04,True,2,Strong speakers.
AM-2025,P00383,PGM2025-03,True,4,Great insights on AI.
AM-2025,P00383,PGM2025-18,True,5,More examples needed.
AM-2025,P00383,PGM2025-06,True,4,Too salesy.
AM-2025,P00383,PGM2025-07,True,5,Useful benchmarks for my team.
AM-2025,P00383,PGM2025-21,True,5,More time for Q&A please.
AM-2025,P00200,PGM2025-19,True,5,Would value a deeper dive next time.
AM-2025,P00200,PGM2025-12,True,4,Too salesy.
AM-2025,P00200,PGM2025-01,True,4,Loved the practical templates.
AM-2025,P00200,PGM2025-04,True,4,Great insights on AI.
AM-2025,P00200,PGM2025-03,True,4,Useful benchmarks for my team.
AM-2025,P00200,PGM2025-15,True,4,Very practical.
